date,filt_prob_high,smooth_prob_high
2017-02-06,0.07584852084826248,0.021321933682081524
2017-02-07,0.045792226705474295,0.013508602952001217
2017-02-08,0.0355181519787136,0.012280869118721043
2017-02-09,0.051897453184412135,0.0157644425491065
2017-02-10,0.03686488886677402,0.013847573053471625
2017-02-13,0.03323783928677411,0.018708035531211326
2017-02-14,0.0368719747910926,0.034494801637959246
2017-02-15,0.2213177869291001,0.069927721863934
2017-02-16,0.1075447763664414,0.03144498528344564
2017-02-17,0.06303034236435319,0.017792073031094847
2017-02-22,0.043811851589644554,0.012560393984665425
2017-02-23,0.0338979028517851,0.011255966335885239
2017-02-24,0.033180606464711805,0.014295032184940725
2017-02-27,0.0494472547237235,0.022871194349925864
2017-02-28,0.0809693491056014,0.03005002313674273
2017-03-01,0.054379198285418304,0.02607040071046332
2017-03-02,0.07143838045397546,0.03320449153243217
2017-03-03,0.12128936727115062,0.03618267728365996
2017-03-06,0.06797393483479178,0.019951801573688262
2017-03-07,0.0445836698325338,0.014362117457324951
2017-03-08,0.042269082524468,0.01484105919306163
2017-03-09,0.042478765850517144,0.01733791608512128
2017-03-10,0.056336230706112815,0.022902514632352072
2017-03-13,0.04420317473285062,0.02570254755069825
2017-03-14,0.1057970478507054,0.040371190638280596
2017-03-15,0.09791940743442204,0.03188991722300702
2017-03-16,0.06911443674913512,0.022022194117141493
2017-03-17,0.042890462169036664,0.017565324758075047
2017-03-20,0.03358634699219965,0.023126434907377747
2017-03-21,0.14658662428112815,0.045720693089541645
2017-03-22,0.08225323604570989,0.024723966188914162
2017-03-23,0.05357411870473463,0.016683330080760596
2017-03-24,0.03795220002220867,0.014859276655484147
2017-03-27,0.03965770696920797,0.020381116063933526
2017-03-28,0.1043038103304814,0.032253986324440695
2017-03-29,0.05674547826158889,0.02018277980988116
2017-03-30,0.03894456546456937,0.020146418105935773
2017-03-31,0.07634599080756381,0.032341791322753055
2017-04-03,0.04535455111625786,0.032118859940082206
2017-04-04,0.05303377657328113,0.05345689350006864
2017-04-05,0.1516053000711363,0.08953603743689131
2017-04-06,0.09492586537239095,0.08264516707411816
2017-04-07,0.06862674865381817,0.10274925163234662
2017-04-10,0.17551556183819847,0.16207089854578277
2017-04-11,0.20968250738606745,0.16840528666339935
2017-04-12,0.1522943265574168,0.16072752927143275
2017-04-13,0.07881921332284225,0.17908806177543665
